DATE,BY PRODUCT,PROVINCE,DISTRICT ID,DISTRICT,STATION ID,STATION,MINIMUM,MAXIMUM
06/01/2019,Wheat,Punjab,,,,Hasilpur,1300,
06/01/2019,Wheat,Sindh,,,,Hyderabad,1340,
06/01/2019,Wheat,Sindh,,,,Karachi,1360,1360
06/01/2019,Wheat,Sindh,,,,Kotri,1350,1350
06/01/2019,Wheat,,,,,Mehrab Pur,1295,1300
06/01/2019,Wheat,Sindh,,,,Shahdadpur,1290,1305
06/01/2019,Wheat,Sindh,,,,Tando Bhago,1300,1310
07/01/2019,Wheat,Sindh,,,,Dadu,1320,1340
07/01/2019,Wheat,Punjab,,,,Chishtian,,1340
07/01/2019,Wheat,Punjab,,,,Dunga Bunga,,1330
07/01/2019,Wheat,,,,,,1325,1330
07/01/2019,,Punjab,,,,Burewala,1330,1340
07/01/2019,Wheat,Punjab,,,,Faqirwali,1330,1345
07/01/2019,Wheat,Sindh,,,,Badin,1330,1340
07/01/2019,Wheat,Sindh,,,,Daharki,1330,1340
07/01/2019,Wheat,Sindh,,,,Digri,1330,1340
07/01/2019,Wheat,Sindh,,,,Ghotki,1330,1340
07/01/2019,Wheat,Sindh,,,,Jhuddo,,1340
07/01/2019,Wheat,Sindh,,,,Samaro,1330,1340
07/01/2019,Wheat,Sindh,,,,Sanghar,1330,1340
07/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1330,1340
07/01/2019,Wheat,Sindh,,,,Tando Bhago,1330,1340
07/01/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1330,1340
07/01/2019,Wheat,,,,,Thatta,1330,1340
07/01/2019,Wheat,,,,,Umarkot,1330,1340
07/01/2019,,Punjab,,,,Lodhran,1340,1340
07/01/2019,Wheat,Punjab,,,,,1340,1350
07/01/2019,Wheat,Sindh,,,,Shahdadpur,1340,1340
07/01/2019,Wheat,Punjab,,,,Arifwala,1350,1375
07/01/2019,Wheat,Punjab,,,,Bahawalnagar,1350,1355
07/01/2019,Wheat,Punjab,,,,Chichawatni,1350,1360
07/01/2019,Wheat,Punjab,,,,Haroonabad,1350,1360
07/01/2019,Wheat,Punjab,,,,Khairpur,1350,1360
07/01/2019,Wheat,Punjab,,,,Marot,1350,1370
07/01/2019,Wheat,Punjab,,,,Mian Channu,1350,1360
07/01/2019,Wheat,Sindh,,,,Kotri,1350,1350
07/01/2019,Wheat,Punjab,,,,Pattoki,1360,1380
07/01/2019,Wheat,Punjab,,,,Toba Tek Singh,1370,1380
07/01/2019,Wheat,Punjab,,,,Sadiqabad,1380,1400
07/01/2019,Wheat,Punjab,,,,Sahiwal,1380,
07/01/2019,Wheat,Sindh,,,,yHderabad,,1380
07/01/2019,Wheat,Sindh,,,,Karachi,1380,
07/01/2019,Wheat,Sindh,,,,Badin,1330,1340
07/01/2019,Wheat,Punjab,,,,Faqirwali,1330,1345
07/01/2019,Wheat,Punjab,,,,Chishtian,,1340
08/01/2019,Wheat,Punjab,,,,Hasilpur,1300,1310
08/01/2019,Wheat,Punjab,,,,Sadiqabad,1300,1345
08/01/2019,Wheat,Punjab,,,,,1320,1325
08/01/2019,Wheat,Sindh,,,,Dadu,1320,1335
08/01/2019,Wheat,,,,,Fortabbas,1325,1335
08/01/2019,Wheat,Punjab,,,,Khanpur,1325,
08/01/2019,Wheat,Punjab,,,,Chichawatni,1330,1340
08/01/2019,Wheat,Sindh,,,,Badin,1330,1340
08/01/2019,,Sindh,,,,Daharki,1330,1335
08/01/2019,Wheat,Sindh,,,,Digri,1330,1335
08/01/2019,Wheat,Sindh,,,,Ghotki,1330,1340
08/01/2019,Wheat,Sindh,,,,Samaro,1330,1340
08/01/2019,Wheat,Sindh,,,,Sanghar,1330,1340
08/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1330,1340
08/01/2019,Wheat,Punjab,,,,Lodhran,1340,1340
08/01/2019,Wheat,,,,,Rahimyar khan,1340,1365
08/01/2019,Wheat,Sindh,,,,Shahdadpur,1340,1340
08/01/2019,Wheat,Sindh,,,,Tando Bhago,1340,1345
08/01/2019,Wheat,Sindh,,,,,1340,
08/01/2019,Wheat,Sindh,,,,Thatta,1340,1345
08/01/2019,Wheat,Sindh,,,,Umarkot,1340,1345
08/01/2019,Wheat,Sindh,,,,,1380,1385
08/01/2019,Wheat,,,,,Kotri,1380,1392
08/01/2019,Wheat,,,,,Karachi,1390,1410
08/01/2019,Wheat,,,,,Kotri,1380,1392
08/01/2019,Wheat,Sindh,,,,Ghotki,1330,1340
08/01/2019,Wheat,Sindh,,,,Dadu,1320,1335
08/01/2019,Wheat,Sindh,,,,Tando Adam Khan,1330,1340
10/01/2019,Wheat,Punjab,,,,Chichawatni,1410,1425
10/01/2019,Wheat,Punjab,,,,Haroonabad,1425,1450
10/01/2019,Wheat,Punjab,,,,Sadiqabad,,1470
10/01/2019,,Punjab,,,,Bahawalpur,1455,1470
10/01/2019,Wheat,Punjab,,,,Khanpur,1460,1475
10/01/2019,Wheat,,,,,Rahimyar khan,1460,1475
10/01/2019,Wheat,Punjab,,,,Multan,1470,1485
10/01/2019,Wheat,Punjab,,,,Lahore,1480,1490
10/01/2019,Wheat,,,,,Islamabad,1525,1565
10/01/2019,Wheat,,,,,Hyderabad,1540,1560
10/01/2019,Wheat,Sindh,,,,Karachi,1580,1600
10/01/2019,Wheat,Punjab,,,,Haroonabad,1425,1450
10/01/2019,Wheat,Punjab,,,,Khanpur,1460,1475
10/01/2019,Wheat,Punjab,,,,Multan,1470,1485
01/02/2019,Wheat,,,,,Chichawatni,1290,1305
01/02/2019,,,,,,Pakpattan,1290,
01/02/2019,Wheat,,,,,Arifwala,1300,1315
01/02/2019,Wheat,Punjab,,,,Bahawalnagar,1300,1315
01/02/2019,Wheat,Punjab,,,,Chishtian,1300,1315
01/02/2019,Wheat,Punjab,,,,Hasilpur,1300,1315
01/02/2019,Wheat,Punjab,,,,Bahawalpur,1310,1325
01/02/2019,Wheat,Punjab,,,,Khanpur,1310,1325
01/02/2019,Wheat,Punjab,,,,Liaqauatpur,1310,1325
01/02/2019,Wheat,Punjab,,,,Multan,1310,1325
01/02/2019,Wheat,,,,,Rahimyar khan,1310,
01/02/2019,Wheat,Punjab,,,,Sadiqabad,1310,
01/02/2019,Wheat,Sindh,,,,Tando Adam Khan,,1330
01/02/2019,,Sindh,,,,Umarkot,1315,
01/02/2019,Wheat,Sindh,,,,Kunri,1320,1350
01/02/2019,Wheat,Sindh,,,,Sukkur,1320,1330
01/02/2019,Wheat,Sindh,,,,,1325,1335
01/02/2019,Wheat,Sindh,,,,Sanghar,1325,1345
01/02/2019,Wheat,Sindh,,,,Digri,1330,1340
01/02/2019,Wheat,Sindh,,,,Ghotki,1330,1315
01/02/2019,,Sindh,,,,Hyderabad,1330,1360
01/02/2019,Wheat,Sindh,,,,Khairpur,1330,1350
01/02/2019,Wheat,Sindh,,,,Mirpur khas,1335,1345
01/02/2019,Wheat,Punjab,,,,Lahore,,
01/02/2019,Wheat,Sindh,,,,Daharki,,1345
01/02/2019,Wheat,Sindh,,,,Naushahro Feroze,1345,
01/02/2019,Wheat,Punjab,,,,Islamabad,1350,1365
01/02/2019,Wheat,Sindh,,,,Karachi,1360,1375
01/02/2019,Wheat,Sindh,,,,Kunri,1320,1350
01/02/2019,,Sindh,,,,Umarkot,1315,
02/02/2019,Wheat,Punjab,,,,Alipur,1295,1305
02/02/2019,Wheat,Punjab,,,,Chichawatni,1295,
02/02/2019,Wheat,,,,,Bahawalnagar,1300,1315
02/02/2019,Wheat,Punjab,,,,,,1315
02/02/2019,Wheat,Punjab,,,,Hasilpur,1300,1315
02/02/2019,Wheat,Punjab,,,,Arifwala,1305,1315
02/02/2019,Wheat,Punjab,,,,Bahawalpur,1310,1325
02/02/2019,Wheat,Punjab,,,,Khanpur,1310,
02/02/2019,Wheat,Punjab,,,,Liaqauatpur,1310,1325
02/02/2019,Wheat,Punjab,,,,Multan,1310,1325
02/02/2019,Wheat,Punjab,,,,Rahimyar khan,1310,1325
02/02/2019,Wheat,Punjab,,,,Sadiqabad,1310,1325
02/02/2019,Wheat,Sindh,,,,,1310,1320
02/02/2019,Wheat,Sindh,,,,Tando Adam Khan,1315,1330
02/02/2019,Wheat,Sindh,,,,Sukkur,1320,1330
02/02/2019,,Sindh,,,,Umarkot,1320,1335
02/02/2019,Wheat,Sindh,,,,Nawabshah,,
02/02/2019,Wheat,Sindh,,,,Sanghar,1325,1345
02/02/2019,Wheat,Sindh,,,,Digri,1330,1340
02/02/2019,Wheat,Sindh,,,,Hyderabad,1391.967695,1345
02/02/2019,Wheat,Sindh,,,,Khairpur,1330,1350
02/02/2019,Wheat,Punjab,,,,,1340,
02/02/2019,Wheat,Punjab,,,,,1340,1350
02/02/2019,Wheat,Punjab,,,,,1345,
02/02/2019,Wheat,Sindh,,,,Naushahro Feroze,1345,1350
02/02/2019,Wheat,Sindh,,,,Karachi,1365,1370
02/02/2019,Wheat,Punjab,,,,,1340,1350
02/02/2019,Wheat,Punjab,,,,,,1315
02/02/2019,Wheat,Sindh,,,,Sukkur,1320,1330
02/02/2019,Wheat,Sindh,,,,Nawabshah,,
03/02/2019,Wheat,Sindh,,,,Badin,1225,1300
03/02/2019,Wheat,Sindh,,,,Digri,1250,
03/02/2019,Wheat,Sindh,,,,Jhuddo,,1300
03/02/2019,Wheat,Sindh,,,,Kunri,1250,1300
03/02/2019,Wheat,Sindh,,,,Tando Adam Khan,1250,1300
03/02/2019,Wheat,Sindh,,,,Tando Bhago,1250,1275
03/02/2019,Wheat,Sindh,,,,,1250,1300
03/02/2019,Wheat,Sindh,,,,Umarkot,1250,1300
03/02/2019,,Punjab,,,,Pakpattan,1295,1310
03/02/2019,Wheat,Punjab,,,,Rahimyar khan,1295,1320
03/02/2019,,Punjab,,,,Sadiqabad,1295,1315
03/02/2019,Wheat,Punjab,,,,,1300,1315
03/02/2019,,Punjab,,,,Lahore,1305,
03/02/2019,Wheat,Punjab,,,,Multan,1310,1315
04/02/2019,Wheat,Punjab,,,,Fortabbas,1050,1220
04/02/2019,Wheat,Punjab,,,,Dunga Bunga,1100,1225
04/02/2019,Wheat,Punjab,,,,Faqirwali,1150,1200
04/02/2019,Wheat,Punjab,,,,Haroonabad,1150,1225
04/02/2019,Wheat,Sindh,,,,Mehrab Pur,1160,1170
04/02/2019,Wheat,Sindh,,,,Naushahro Feroze,1160,
04/02/2019,Wheat,,,,,Sukkur,1160,1170
04/02/2019,Wheat,Sindh,,,,Dadu,1170,1180
04/02/2019,Wheat,Sindh,,,,,,1180
04/02/2019,Wheat,Sindh,,,,Hala,1170,1180
04/02/2019,Wheat,Sindh,,,,Jhuddo,1170,1185
04/02/2019,Wheat,Sindh,,,,,1170,1180
04/02/2019,Wheat,Sindh,,,,Nawabshah,1170,1180
04/02/2019,Wheat,Sindh,,,,Qazi Ahmad,1170,1180
04/02/2019,Wheat,Sindh,,,,Samaro,1170,1175
04/02/2019,Wheat,Sindh,,,,Sanghar,1170,1175
04/02/2019,Wheat,Sindh,,,,Shahdadpur,1170,1180
04/02/2019,Wheat,Sindh,,,,Tando Adam Khan,1170,1180
04/02/2019,Wheat,Sindh,,,,,1170,1175
04/02/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1170,1175
04/02/2019,Wheat,Sindh,,,,Umarkot,1170,1175
04/02/2019,Wheat,Sindh,,,,Badin,1175,1180
04/02/2019,Wheat,Sindh,,,,Karachi,1220,1224
04/02/2019,Wheat,,,,,Ahmadpur East,1250,1250
04/02/2019,Wheat,Sindh,,,,Hyderabad,,1200
04/02/2019,Wheat,Sindh,,,,Dadu,1170,1180
04/02/2019,Wheat,Sindh,,,,Shahdadpur,1170,1180
04/02/2019,Wheat,,,,,Ahmadpur East,1250,1250
04/02/2019,Wheat,Sindh,,,,,1170,1175
04/02/2019,Wheat,,,,,Sukkur,1160,1170
04/02/2019,Wheat,Sindh,,,,Qazi Ahmad,1170,1180
04/02/2019,Wheat,Sindh,,,,Samaro,1170,1175
05/02/2019,Wheat,Punjab,,,,Hasilpur,,1200
05/02/2019,Wheat,Punjab,,,,Bahawalnagar,1150,1230
05/02/2019,Wheat,Punjab,,,,Bahawalpur,1150,
05/02/2019,Wheat,Punjab,,,,Faqirwali,1150,1235
05/02/2019,Wheat,Punjab,,,,,1150,1200
05/02/2019,Wheat,Punjab,,,,Sahiwal,1150,1350
05/02/2019,Wheat,,,,,Taunsa sharif,1150,1180
05/02/2019,Wheat,Punjab,,,,Vehari,1150,1250
05/02/2019,Wheat,Punjab,,,,Khanewal,1170,1230
05/02/2019,,Sindh,,,,Kandhkot,1170,1180
05/02/2019,Wheat,Punjab,,,,Mian Channu,1175,1235
05/02/2019,Wheat,Punjab,,,,Pattoki,1175,1225
05/02/2019,Wheat,Punjab,,,,Rahimyar khan,,1280
05/02/2019,Wheat,Sindh,,,,Mehrab Pur,1175,1185
05/02/2019,Wheat,Sindh,,,,Sukkur,1175,1185
05/02/2019,Wheat,Punjab,,,,Dera Ghazi Khan,1180,1220
05/02/2019,Wheat,Punjab,,,,Fortabbas,1180,1260
05/02/2019,Wheat,Sindh,,,,Dadu,1180,1190
05/02/2019,Wheat,Sindh,,,,Daharki,1180,1200
05/02/2019,Wheat,Sindh,,,,Ghotki,,1200
05/02/2019,Wheat,Sindh,,,,Shahdadpur,1180,1190
05/02/2019,Wheat,Sindh,,,,Badin,,1190
05/02/2019,Wheat,Sindh,,,,Digri,1185,1190
05/02/2019,Wheat,Sindh,,,,Jhuddo,1185,1190
05/02/2019,Wheat,Sindh,,,,Sanghar,1185,1190
05/02/2019,,Sindh,,,,Tando Adam Khan,,1200
05/02/2019,Wheat,Sindh,,,,,1185,1200
05/02/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1185,1190
05/02/2019,Wheat,Sindh,,,,Thatta,1185,1190
05/02/2019,Wheat,Punjab,,,,Karor Pakka,1190,
05/02/2019,Wheat,Sindh,,,,Hala,,1200
05/02/2019,Wheat,Sindh,,,,Naushahro Feroze,1190,1200
05/02/2019,Wheat,Sindh,,,,Nawabshah,1190,1200
05/02/2019,Wheat,Punjab,,,,Sadiqabad,1195,1225
05/02/2019,Wheat,Punjab,,,,Burewala,1200,1240
05/02/2019,Wheat,,,,,Chichawatni,1200,1300
05/02/2019,Wheat,Punjab,,,,Dharya khan,1200,1240
05/02/2019,Wheat,Punjab,,,,Dunga Bunga,1200,1235
05/02/2019,,Punjab,,,,Fatehpur,1200,
05/02/2019,Wheat,Punjab,,,,Lodhran,1200,1225
05/02/2019,Wheat,,,,,,1200,1260
05/02/2019,Wheat,Punjab,,,,Pepla Mandi,1200,1280
05/02/2019,Wheat,Punjab,,,,Khanpur,1230,1270
05/02/2019,,Punjab,,,,Chowk Munda,1240,1340
05/02/2019,Wheat,Punjab,,,,Toba Tek Singh,1250,1270
05/02/2019,Wheat,Sindh,,,,Karachi,1256,
05/02/2019,Wheat,Sindh,,,,Hyderabad,1232,1232
05/02/2019,Wheat,Sindh,,,,Kotri,1240,1240
05/02/2019,Wheat,Sindh,,,,Sukkur,1175,1185
05/02/2019,Wheat,Sindh,,,,Badin,,1190
05/02/2019,Wheat,Sindh,,,,Mehrab Pur,1175,1185
05/02/2019,Wheat,Sindh,,,,Digri,1185,1190
05/02/2019,Wheat,Punjab,,,,Lodhran,1200,1225
05/02/2019,Wheat,Sindh,,,,Shahdadpur,1180,1190
05/02/2019,Wheat,Punjab,,,,Bahawalpur,1150,
05/02/2019,Wheat,Punjab,,,,Mian Channu,1175,1235
05/02/2019,Wheat,Punjab,,,,Toba Tek Singh,1250,1270
05/02/2019,Wheat,Sindh,,,,Ghotki,,1200
07/02/2019,Wheat,Punjab,,,,Fortabbas,1320,1360
07/02/2019,,Sindh,,,,Dadu,1320,
07/02/2019,Wheat,Punjab,,,,Dunga Bunga,1325,1335
07/02/2019,Wheat,Punjab,,,,Burewala,1330,1350
07/02/2019,Wheat,,,,,Faqirwali,1330,1350
07/02/2019,Wheat,Sindh,,,,Badin,1330,1340
07/02/2019,Wheat,Sindh,,,,Daharki,,1340
07/02/2019,Wheat,Sindh,,,,Ghotki,1330,1340
07/02/2019,Wheat,Sindh,,,,Jhuddo,1330,1340
07/02/2019,Wheat,Sindh,,,,Samaro,1330,1340
07/02/2019,Wheat,,,,,Sanghar,1330,1340
07/02/2019,Wheat,Sindh,,,,Tando Adam Khan,,1340
07/02/2019,Wheat,Sindh,,,,Tando Bhago,1330,1340
07/02/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1330,
07/02/2019,Wheat,Sindh,,,,Thatta,1330,1340
07/02/2019,Wheat,Sindh,,,,Umarkot,1330,1340
07/02/2019,Wheat,Sindh,,,,Shahdadpur,1340,1340
07/02/2019,,Punjab,,,,Lodhran,1345,
07/02/2019,Wheat,Punjab,,,,Arifwala,1350,1360
07/02/2019,Wheat,Punjab,,,,Bahawalnagar,1350,1370
07/02/2019,Wheat,Punjab,,,,Chichawatni,1350,1370
07/02/2019,Wheat,Punjab,,,,Haroonabad,1350,1360
07/02/2019,Wheat,Punjab,,,,Khanpur,1350,1360
07/02/2019,Wheat,Punjab,,,,Marot,1350,1380
07/02/2019,Wheat,Punjab,,,,Mian Channu,1350,1360
07/02/2019,Wheat,Sindh,,,,Kotri,1350,1350
07/02/2019,Wheat,Punjab,,,,Pattoki,1360,1380
07/02/2019,Wheat,Punjab,,,,Rahimyar khan,,1372
07/02/2019,Wheat,Punjab,,,,Toba Tek Singh,1370,1375
07/02/2019,,Punjab,,,,Sadiqabad,1380,1409
07/02/2019,Wheat,Punjab,,,,Sahiwal,1380,1400
07/02/2019,Wheat,Sindh,,,,,1380,1380
07/02/2019,Wheat,Sindh,,,,Karachi,1380,1380
07/02/2019,Wheat,Sindh,,,,Tando Adam Khan,,1340
08/02/2019,Wheat,Punjab,,,,Hasilpur,1300,
08/02/2019,Wheat,Punjab,,,,Sadiqabad,1300,1345
08/02/2019,Wheat,,,,,Chishtian,1305,1315
08/02/2019,,,,,,Haroonabad,1320,1325
08/02/2019,Wheat,Sindh,,,,Dadu,1320,1335
08/02/2019,Wheat,Punjab,,,,Fortabbas,1325,1335
08/02/2019,Wheat,Punjab,,,,Khanpur,1325,1330
08/02/2019,Wheat,Punjab,,,,Chichawatni,1330,1340
08/02/2019,Wheat,Sindh,,,,Badin,1330,1340
08/02/2019,Wheat,Sindh,,,,Daharki,1330,1335
08/02/2019,Wheat,,,,,Digri,1330,1335
08/02/2019,Wheat,Sindh,,,,Ghotki,1330,1340
08/02/2019,Wheat,Sindh,,,,Jhuddo,1330,1340
08/02/2019,,Sindh,,,,,1330,1340
08/02/2019,Wheat,Sindh,,,,Sanghar,1330,1340
08/02/2019,Wheat,Punjab,,,,Lodhran,1340,1340
08/02/2019,Wheat,Punjab,,,,Rahimyar khan,1340,1365
08/02/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1340,1345
08/02/2019,Wheat,,,,,,1340,
08/02/2019,Wheat,Sindh,,,,Umarkot,1340,1345
08/02/2019,Wheat,Punjab,,,,Sahiwal,1345,1350
08/02/2019,Wheat,Sindh,,,,Hyderabad,1380,
08/02/2019,Wheat,Sindh,,,,Kotri,,1392
08/02/2019,,Sindh,,,,,1390,1410
08/02/2019,Wheat,Sindh,,,,Umarkot,1340,1345
08/02/2019,Wheat,Punjab,,,,Sadiqabad,1300,1345
08/02/2019,Wheat,Sindh,,,,Hyderabad,1380,
08/02/2019,Wheat,Punjab,,,,Fortabbas,1325,1335
09/02/2019,,,,,,Dadu,1325,1335
09/02/2019,Wheat,Sindh,,,,Digri,1330,1345
09/02/2019,Wheat,Sindh,,,,Bahawalpur,,1340
09/02/2019,Wheat,Sindh,,,,Jhuddo,1330,1345
09/02/2019,Wheat,,,,,Samaro,1330,1340
09/02/2019,,Sindh,,,,Tando Adam Khan,1330,1360
09/02/2019,Wheat,Sindh,,,,,,1340
09/02/2019,,Sindh,,,,Shahdadpur,1340,1360
09/02/2019,Wheat,Sindh,,,,Tando Bhago,1340,1350
09/02/2019,Wheat,Sindh,,,,Tando Jan Mohammad,1340,1350
09/02/2019,Wheat,Sindh,,,,Thatta,,1350
09/02/2019,Wheat,Sindh,,,,Umarkot,1340,1350
09/02/2019,Wheat,Punjab,,,,Hasilpur,1360,1370
09/02/2019,Wheat,Punjab,,,,Lodhran,,1370
09/02/2019,Wheat,Sindh,,,,Hyderabad,1380,1385
09/02/2019,Wheat,Sindh,,,,Kotri,1380,1395
09/02/2019,Wheat,Sindh,,,,Karachi,,1410
09/02/2019,Wheat,Punjab,,,,Haroonabad,1400,1410
